出発地のノード番号,到着側のノード番号,ウェイの距離[m]
2400,2406,170.22
120,14,113.48
23884,23886,80.76
23886,23887,20.21
23887,23889,40.61
580,584,22.23
584,587,18.26
587,602,98.78
602,601,10.48
2401,2400,186.34
23826,23827,11.48
23827,23832,53.15
23832,23860,27.99
23860,23867,19.85
23867,23883,58.06
588,581,68.84
581,574,33.28
574,525,27.12
525,484,19.46
484,17381,17.03
23819,23820,8.17
23820,23821,7.14
23821,23822,52.73
23822,23823,47.51
23823,23824,29.21
23824,23826,119.38
933,936,71.57
936,935,14.81
935,932,42.7
932,934,6.3
934,937,67.92
2348,2351,9.51
2351,2355,43.94
2355,2375,70.57
2375,2381,4.44
2381,2388,3.87
2388,2400,60.98
2274,2275,249.59
2515,2517,53.98
2517,2519,129.15
601,608,0.39
608,643,23.29
643,659,58.89
659,678,54.23
678,19491,42.43
19491,723,65.14
723,724,26.68
23178,23165,68.52
23165,7171,69.97
7171,23110,84.82
22357,22355,9.44
22355,22356,9.32
22356,22359,6.99
22359,22370,22.16
22370,22373,14.63
22373,22377,18.53
22377,6913,57.38
2399,2397,23.43
2397,2396,36.21
2396,2393,43.86
2393,2391,41.92
2391,2390,9.38
2390,2389,4.55
2389,2365,46.76
749,751,38.57
751,771,45.65
771,859,49.8
859,926,32.78
2487,2489,23.13
2489,2490,22.69
2490,2491,19.15
2491,2492,42.96
2492,2493,18.55
2493,2494,4.05
2494,2495,18.51
2275,2273,144.54
2273,4536,224.92
1913,1897,65.1
1897,1838,57.1
1838,1793,22.59
1793,1788,20.97
1788,1786,7.07
1786,1764,37.19
1764,1742,33.2
2471,2469,37.24
2469,2472,83.38
2472,2473,150.41
2473,2484,62.31
2484,2485,36.11
2485,2488,67.06
2488,2486,49.5
2486,2487,4.87
6855,6854,44.3
6737,6736,101.32
6857,6856,65.55
6856,6855,45.61
6881,6882,31.86
6530,1291,230.69
1291,6522,115.85
6702,6730,97.89
6763,6758,278.6
5826,5842,10.94
6858,6857,80.13
6268,6269,116.71
6269,6276,104.29
6736,6735,21.98
6232,6231,133.92
6231,6236,25.71
6236,6239,48.68
6787,7632,36.24
7632,6784,59.05
6784,6774,138.09
6774,6763,52.18
6359,10276,5.06
10276,6356,114.83
6356,6348,145.06
6348,6340,49.83
6340,6295,130.16
6738,6739,3.47
6739,6742,76.01
6742,6752,88.57
6334,6333,40.71
6333,6336,14.46
6336,6339,160.01
6339,6340,109.03
6216,6219,87.27
6219,6226,37.32
6226,6234,17.84
6234,6251,39.71
6428,6427,16.42
6427,6426,126.65
6426,9947,79.15
9947,6398,37.78
6398,6386,191.52
6743,6733,145.24
6733,5096,3.56
5096,5095,3.83
5095,6732,48.91
6732,5097,2.93
5097,6731,91.49
6374,6373,0.22
6373,6369,129.03
6369,6368,66.33
6368,6367,148.26
6367,6366,24.87
6366,6365,21.86
6365,6363,49.78
6363,6360,57.25
14294,14293,2.96
14293,14289,19.08
14289,14276,12.6
14276,14264,15.11
14264,14231,20.01
14231,14195,16.61
14195,14190,8.07
14190,14164,18.72
14164,14138,20.68
13870,13865,3.5
13865,13859,9.45
13859,13854,5.34
13854,13849,8.95
13849,13845,15.68
13845,13838,22.03
13838,13812,57.96
13812,13780,18.14
13780,13777,16.55
14240,14098,168.75
16351,16341,107.14
16341,16347,15.39
16347,16359,7.07
16359,16357,42.76
16357,733,40.46
733,16483,7.8
14185,14179,54.42
14179,14176,9.38
14176,14173,31.3
14173,14178,8.76
14178,14189,19.43
14189,14217,32.93
14217,14245,17.52
14245,14292,45.07
14292,14297,10.55
14297,14294,12.11
14321,5432,22.21
5432,21062,3.32
21062,21063,6.83
21063,14312,10.96
14312,14306,5.93
14306,14304,13.55
14304,14300,5.29
14300,21064,14.08
21064,14296,12.87
14296,14288,12.21
14288,14271,13.57
14271,14256,20.45
14256,14233,6.81
16457,16401,38.84
16401,16370,91.61
16370,16343,61.15
16343,16334,43.79
16334,16315,9.03
14103,14104,10.2
14104,14105,11.94
14105,14106,17.01
14106,14101,18.1
14101,14096,16.88
14096,14089,19.43
14089,14084,19.94
14084,14070,35.39
14070,14060,24.77
14060,14055,18.12
14055,14053,7.57
17032,17031,17.62
17031,17034,11.19
17034,17038,32.85
17038,17039,17.67
17039,17037,14.86
17037,17035,20.15
17035,17036,9.07
17036,17040,11.47
17040,17805,17.6
17805,17044,16.85
17044,17066,19.0
17066,17070,26.6
13991,13963,26.85
13963,13950,28.91
13950,13949,3.65
13949,13944,33.8
13944,13939,19.88
13939,13935,33.78
13935,13930,20.2
13930,13913,30.52
13913,13896,46.0
13896,13893,6.37
13893,13886,17.41
13886,13879,32.34
15108,15106,21.78
15106,15102,23.1
15102,15099,23.44
15099,15096,18.12
15096,15093,21.98
15093,15064,56.25
15064,15060,17.88
15060,15057,38.2
15057,15054,34.95
15054,15049,44.12
14301,14287,46.22
14287,14272,15.35
14272,14270,5.35
14270,14200,58.09
14200,14184,24.91
14184,14181,2.26
14181,14171,7.54
14171,14158,11.93
14158,14150,8.53
14150,14132,18.41
14132,14127,12.57
14127,14123,5.74
14563,14573,4.43
14573,14580,24.08
14580,14584,18.27
14584,14594,17.04
14594,14597,18.57
14597,14602,17.95
14602,5424,5.16
5424,5425,4.65
5425,14604,7.06
14604,14599,17.44
14599,14598,7.95
14598,14601,7.81
14601,14606,4.41
14606,5426,4.23
5426,20456,4.3
20456,5427,3.75
5427,5428,7.03
5428,14608,15.94
15182,15184,16.26
15184,15186,16.47
15186,15193,31.01
15193,15200,17.55
15200,15209,13.02
15209,15213,18.2
15213,15216,21.72
15216,15263,45.72
15263,15274,37.97
15274,15287,22.18
15287,15291,25.77
15291,15296,35.02
15534,15536,27.55
15536,15537,16.33
15537,15541,26.41
15541,15545,14.42
15545,15546,11.84
15546,15547,20.86
15547,6279,11.49
6279,15544,11.01
15544,15548,10.14
15548,15549,3.38
15549,15551,16.71
15551,15562,34.33
15562,15565,29.69
15565,15567,29.8
15567,15587,45.35
15587,5861,47.26
17491,17490,15.49
17490,17494,9.62
17494,17488,9.02
17488,17487,10.37
17487,17486,8.06
17486,17485,9.49
17485,17484,10.31
17484,17483,20.02
17483,17482,8.31
17482,17481,21.91
