ノード番号,緯度,経度,3次メッシュID
17805,36.6078942,137.2739627,54377221
17806,36.7051093,137.1981748,5537145
17807,36.7044517,137.1978402,5537145
17808,36.7036395,137.1973874,5537145
17809,36.572144,137.169355,54376183
17810,36.7104805,137.151211,5537152
17811,36.6832749,137.216667,5537117
17812,36.6832902,137.2173341,5537117
17813,36.57216,137.125459,54376180
17814,36.572161,137.167854,54376183
17815,36.572159,137.115791,54376089
17816,36.7105561,137.1394213,5537151
17817,36.607979,137.2970511,54377223
17818,36.5722,137.169139,54376183
17819,36.6833709,137.2144775,5537127
17820,36.57221,137.158012,54376182
17821,36.572211,137.168008,54376183
17822,36.572213,137.158009,54376182
17823,36.6833948,137.2140165,5537127
17824,36.7106169,137.1514692,5537152
17825,36.6834052,137.2138209,5537127
17826,36.6834357,137.2132841,5537127
17827,36.572234,137.168894,54376183
17828,36.572245,137.173066,54376183
17829,36.572256,137.168559,54376183
17830,36.6079076,137.2780956,54377222
17831,36.6834772,137.2123433,5537126
17832,36.607973,137.263784,54377221
17833,36.685479,137.2022864,5537126
17834,36.5723,137.157921,54376182
17835,36.572317,137.116188,54376089
17836,36.7029449,137.3069215,5537244
17837,36.710697,137.1619623,5537152
17838,36.7030741,137.3053795,5537244
17839,36.7024252,137.3068668,5537244
17840,36.6080453,137.2630599,54377221
17841,36.6878721,137.315035,5537225
17842,36.7031943,137.1984867,5537145
17843,36.6875138,137.3150032,5537225
17844,36.7030162,137.1989588,5537145
17845,36.686712,137.3149408,5537225
17846,36.7231693,137.1195375,5537069
17847,36.723043,137.121808,5537069
17848,36.6083483,137.2968722,54377233
17849,36.572414,137.125564,54376180
17850,36.7106666,137.1253653,5537150
17851,36.572436,137.145039,54376181
17852,36.572442,137.173331,54376183
17853,36.572448,137.155878,54376182
17854,36.572465,137.14501,54376181
17855,36.710902,137.1350408,5537150
17856,36.7109355,137.168992,5537153
17857,36.572471,137.136439,54376180
17858,36.7110346,137.1621064,5537152
17859,36.572481,137.139946,54376181
17860,36.5724914,137.1347394,54376180
17861,36.7231051,137.1212721,5537069
17862,36.5725618,137.1762495,54376184
17863,36.6840734,137.2158196,5537127
17864,36.57252,137.157782,54376182
17865,36.5725363,137.1760638,54376184
17866,36.7110522,137.1522417,5537152
17867,36.607931,137.2766373,54377222
17868,36.572527,137.125591,54376180
17869,36.7110814,137.1327022,5537150
17870,36.6081332,137.2843303,54377222
17871,36.6081255,137.2845573,54377222
17872,36.7113074,137.1300425,5537150
17873,36.723058,137.121988,5537069
17874,36.6081651,137.2850372,54377222
17875,36.572559,137.116663,54376089
17876,36.6080995,137.2785205,54377222
17877,36.6081108,137.2525831,54377220
17878,36.711116,137.162164,5537152
17879,36.572583,137.14492,54376181
17880,36.6841865,137.2222421,5537127
17881,36.572594,137.175752,54376184
17882,36.6081953,137.285277,54377222
17883,36.711172,137.1622,5537152
17884,36.5726707,137.1764794,54376184
17885,36.572623,137.175598,54376184
17886,36.5726226,137.1347645,54376180
17887,36.572628,137.173638,54376183
17888,36.572667,137.139939,54376181
17889,36.572673,137.144815,54376181
17890,36.7231043,137.1222155,5537069
17891,36.6082307,137.2856897,54377222
17892,36.572718,137.175249,54376184
17893,36.7113135,137.1299471,5537150
17894,36.711296,137.162263,5537152
17895,36.57273,137.17384,54376183
17896,36.7113197,137.1297864,5537150
17897,36.572735,137.155627,54376182
17898,36.6082559,137.2789876,54377222
17899,36.7114566,137.127809,5537150
17900,36.572763,137.144704,54376181
17901,36.572764,137.125628,54376180
17902,36.572768,137.116984,54376089
17903,36.5727934,137.1349116,54376180
17904,36.572774,137.139912,54376181
17905,36.6082669,137.2606725,54377220
17906,36.711359,137.139544,5537151
17907,36.572786,137.157691,54376182
17908,36.7231225,137.1072724,5537068
17909,36.572797,137.174036,54376183
17910,36.6082837,137.283423,54377222
17911,36.572808,137.174873,54376183
17912,36.60831,137.2567377,54377220
17913,36.572831,137.144592,54376181
17914,36.684402,137.2705797,5537221
17915,36.572836,137.144563,54376181
17916,36.572837,137.174182,54376183
17917,36.572837,137.174628,54376183
17918,36.572848,137.174336,54376183
17919,36.7231965,137.119707,5537069
17920,36.7114655,137.1529749,5537152
17921,36.6084757,137.2601278,54377230
17922,36.7115567,137.146987,5537151
17923,36.608309,137.286544,54377222
17924,36.6083566,137.2824696,54377232
17925,36.572904,137.144438,54376181
17926,36.5729225,137.135029,54376180
17927,36.6082115,137.2873675,54377222
17928,36.572926,137.12564,54376180
17929,36.572938,137.14434,54376181
17930,36.7116189,137.1254849,5537150
17931,36.6084989,137.2523893,54377230
17932,36.572955,137.155418,54376182
17933,36.6084412,137.2807026,54377232
17934,36.7232206,137.120472,5537069
17935,36.6084481,137.2816748,54377232
17936,36.7117828,137.1231381,5537059
17937,36.6084674,137.2869415,54377232
17938,36.572988,137.14411,54376181
